,Unnamed: 0,FoodID,NutrientID,NutrientValue,NutrientCode,NutrientSymbol,NutrientUnit,NutrientName,Tagname,need,NutrientGroup,dv
13614,13614,180,304,694.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,1.9277777777777776
13616,13616,180,306,4466.0,306.0,K,mg,POTASSIUM,K,4700.0,3.0,0.9502127659574467
13619,13619,180,312,1.786,312.0,CU,mg,COPPER,CU,0.9,3.0,1.9844444444444445
13620,13620,180,315,6.355,315.0,MN,mg,MANGANESE,MN,3.0,3.0,2.1183333333333336
13627,13627,180,401,566.7,401.0,VITC,mg,VITAMIN C,VITC,90.0,1.0,6.296666666666667
13635,13635,180,430,1359.5,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,11.329166666666667
13679,13679,181,208,298.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,149.0
13685,13685,181,291,41.9,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.3966666666666667
13686,13686,181,301,709.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.709
13687,13687,181,303,16.32,303.0,FE,mg,IRON,FE,8.0,3.0,2.04
13688,13688,181,304,330.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.9166666666666666
13693,13693,181,312,0.975,312.0,CU,mg,COPPER,CU,0.9,3.0,1.0833333333333333
13694,13694,181,315,1.9,315.0,MN,mg,MANGANESE,MN,3.0,3.0,0.6333333333333333
13736,13736,182,208,375.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,187.5
13744,13744,182,301,931.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.931
13745,13745,182,303,66.36,303.0,FE,mg,IRON,FE,8.0,3.0,8.295
13746,13746,182,304,366.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,1.0166666666666666
13751,13751,182,312,0.867,312.0,CU,mg,COPPER,CU,0.9,3.0,0.9633333333333332
13752,13752,182,315,3.333,315.0,MN,mg,MANGANESE,MN,3.0,3.0,1.111
13812,13812,183,208,325.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,162.5
13825,13825,183,291,53.2,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.7733333333333334
